CODEBUCH,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Wert,Kommentar,,,,,,,,,,,,,,,,
edgelist,Grundregel: Die Edgelist darf pro Spalte immer nur einen Wert enthalten. Bis auf die ID idealerweise numerisch codiert (als Zahl).,,,,,,,,,,,,,,,,
nodelist,Grundregel: die IDs der Nodelist müssen mit den IDs der Edgelist komplett übereinstimmen. Ausprägungen der Attribute in der Regel numerisch definieren.,,,,,,,,,,,,,,,,
NA,"definiert fehlende Werte, bei der Datenerhebung das Feld einfach leer lassen, R rechnet NAs (missing values) automatisch raus..",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
edgelist,,,,,,,,,,,,,,,,,
from,definiert den Sender in gerichteten Netzwerken. Entspricht ID in der Nodelist. Keine Sonderzeichen.,,,,,,,,,,,,,,,,
to,"definiert den Empfänger in ungerichteten Netzwerken. Entspricht ID in der Nodelist. Keine Sonderzeichen, etc. ",,,,,,,,,,,,,,,,
date,"Veröffentlichkeitsdatum, in der Form Tag.Monat.Jahr, z.B. 01.09.25",,,,,,,,,,,,,,,,
rating,das Thema ist positiv = p oder negativ = n im Post konnotiert,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
nodelist,,,,,,,,,,,,,,,,,
id,"eindeutige Identifikation jedes einzelnen Knotens (vertex), der erfasst wird.: Personen: Initialen in Kleinbuchstaben, Institutionen ebenfalls mit offizieller Abkürzung, z.B. ice = ICE (United States Immigration and Customs Enforcement), Posts werden als p1, p2, p3 usw. benannt, Kategorien mit k1, k2, k3 etc.",,,,,,,,,,,,,,,,
name,ausgeschriebener Name der Person/Kategorie/Institution,,,,,,,,,,,,,,,,
sex,"dichotome Ausprägung: Wenn der Knoten ein Mensch ist, dann steht 1 = weiblich,  2 = männlich, 3 = divers ",,,,,,,,,,,,,,,,
party,"Wenn der Knoten ein Mensch ist, dann steht 1 = Republicans, 2 = democrats, 3 = andere Parteien",,,,,,,,,,,,,,,,
date,Datum der Veröffentlichung des Posts (in der Form Tag.Monat.Jahr z.B. 01.09.25),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Bearbeitungshinweise,,,,,,,,,,,,,,,,,
"Achten Sie bitte auf die Kommentare in den Spalten. Diese erklären genauer, welche Daten erfasst werden. ",,,,,,,,,,,,,,,,,
"Sie sehen die Kommentare, wenn Sie auf die entsprechende Spalte gehen. ",,,,,,,,,,,,,,,,,
"Verpflichten Sie alle Teammitglieder darauf, das Codebuch zwingend einzuhalten. ",,,,,,,,,,,,,,,,,
Wer seine Daten nicht sauber erstellt muss diese nachbereinigen.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Länder als Knoten oder Themen?,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Kategorien ,englisch,Erste Sichtung,,,,,,,,,,,,,,,
Wahlkampf,election campaining,"Sammlung von Wahlkampfgeldern, Finanzierung Wahlkampf, Wahlbetrug (election fraud), Wahlkampf für andere, America First",,,,,,,,,,,,,,,
Gesundheit,healthcare,"Downsyndrrom awareness month, Fentanyl, Tylenol",,,,,,,,,,,,,,,
Finanzierung,finance,"Infaltion, Investitionen, spending cuts, Korruption, DOGE",,,,,,,,,,,,,,,
Justiz,justice system,"Gerichtssystem (justice system), Begnadigungen, law enforcement, second amendment, Meinungsfreiheit, Anwaltliche Vorgänge",,,,,,,,,,,,,,,
Bildung,education,"Schulsystem, Universitäten",,,,,,,,,,,,,,,
Wirtschaft,economy,"Zölle, Sojabohnen Bauern, Unternehmens- und Verwaltungsankündigungen",,,,,,,,,,,,,,,
Militär,military,"national guards, navi, Air Force Academy Cadet Chapel, Atomwaffentests, Marine",,,,,,,,,,,,,,,
Nationale Sicherheit,national security,,,,,,,,,,,,,,,,
Kriminalität,crime,"murderer, criminals/criminal aliens, Kriminalitätsrate",,,,,,,,,,,,,,,
Persönliche Angriffe,personal attacks,"radical left lunatics, Marjorie Taylor Greene",,,,,,,,,,,,,,,
Medien,media,"Fanke News, media criticism, Univision, press, TV-Auftritte",,,,,,,,,,,,,,,
Delegitimierung staatl. Institutionen,deligitimisation of institutions,Desinformationen,,,,,,,,,,,,,,,
Außenpolitik,foreign policy,"Strafzölle, TikTok Ban, EU, AfD, Hamas, politische Allianzen & internationale Beziehungen, Politische Treffen, Internationaler Vergleich, United Nations, G20 Gipfel",,,,,,,US Department of Homeland Security,,,,,,,,
Innenpolitik,domestic policy,"Ernennung von Regierungsbeamten, The Big Beautiful Bill, Korruption, healthcare, opposition, Attentat auf Charlie Kirk, Politische Treffen, Dmeokraten (democrats), Politische Treffen, Bürgermeisterwahl in New York, Streik des Flughafenpersonals, ActBlue, Biden Administration, Linksradikale, Bürokratie, Senat",,,,,,,,,,,,,,,lethal kinetic strike on four drug vessels
Konflikte,conflicts,"Russland/ Ukraine, Israel/Gaza, Auseinandersetzungen Thailand und Kambodscha, Grönland, Iran, lethal kinetic strike on four drug vessels, Venezuela, Sturm auf das Kapitol, terrorism, Blutbad (Bloodbath in Bezug auf Russland/Ukraine), Blutbad",,,,,,,,,,,,,,,
Sport,sports,"Golf, Basketball",,,,,,,,,,,,,,,
Umwelt,environment,"Windräder, Klimawandel, Energiepolitik",,,,,,,,,,,,,,,
Religion,religion,"Religiöse Ansichten, Juden, Tötung von Christen in Nigerien",,,,,,,,,,,,,,,
Berühmte Persönlichkeiten,celebrities,"Jeffrey Epstein, Ronald Reagan",,,,,,,,,,,,,,,
Historie,history,Sklaven,,,,,,,,,,,,,,,
Persönliches,Family,"Renovierte Räume im Weißen Haus, Ballsaal des Präsidenten",,,,,,,,,,,,,,,
Nationalismus,nationalism,"Patrioten (patriots), Made in the USA, MAGA, American Ideo",,,,,,,,,,,,,,,
Werbung,,Buchempfehlungen,,,,,,,,,,,,,,,
Narzissmus/Selbstbeweihräucherung,,,,,,,,,,,,,,,,,
Preise,,"Nobel Friedenspreis, FIFA Peace Prize",,,,,,,,,,,,,,,
Wissenschaft,,"Künstliche Intelligenz, ",,,,,,,,,,,,,,,
