from,to,date,rating,,,,,,,,,,,,,,,,,,,,
p1,kn,31_01_26,1,,,,,,,,,,,,,,,,,,,,
p1,dohs,31_01_26,1,,,,,,,,,,,,,,,,,,,,
p1,bp,31_01_26,1,,,,,,,,,,,,,,,,,,,,
p1,lg,31_01_26,2,,,,,,,,,,,,,,,,,,,,
p1,lopo,31_01_26,2,,,,,,,,,,,,,,,,,,,,
p1,pr,31_01_26,2,,,,,,,,,,,,,,,,,,,, 
p1,rio,31_01_26,2,,,,,,,,,,,,,,,,,,,,
p1,ins,31_01_26,2,,,,,,,,,,,,,,,,,,,,
p1,ice,31_01_26,1,,,,,,,,,,,,,,,,,,,,
p1,le,31_01_26,3,,,,,,,,,,,,,,,,,,,,
p1,nas,31_01_26,3,,,,,,,,,,,,,,,,,,,,
p1,cr,31_01_26,2,,,,,,,,,,,,,,,,,,,,
p1,fedg,31_01_26,1,,,,,,,,,,,,,,,,,,,,
p1,usm,31_01_26,1,,,,,,,,,,,,,,,,,,,,
kn,dohs,31_01_26,1,,,,,,,,,,,,,,,,,,,,
kn,ice,31_01_26,1,,,,,,,,,,,,,,,,,,,,
kn,le,31_01_26,3,,,,,,,,,,,,,,,,,,,,
dohs,ice,31_01_26,1,,,,,,,,,,,,,,,,,,,,
dohs,bp,31_01_26,1,,,,,,,,,,,,,,,,,,,,
ice,le,31_01_26,3,,,,,,,,,,,,,,,,,,,,
ice,fedg,31_01_26,1,,,,,,,,,,,,,,,,,,,,
bp,le,31_01_26,3,,,,,,,,,,,,,,,,,,,,
bp,fedg,31_01_26,3,,,,,,,,,,,,,,,,,,,,
usm,nas,31_01_26,3,,,,,,,,,,,,,,,,,,,,
usm,fedg,31_01_26,1,,,,,,,,,,,,,,,,,,,,
pr,cr,31_01_26,2,,,,,,,,,,,,,,,,,,,,
rio,cr,31_01_26,2,,,,,,,,,,,,,,,,,,,,
ins,cr,31_01_26,2,,,,,,,,,,,,,,,,,,,,
pr,le,31_01_26,2,,,,,,,,,,,,,,,,,,,,
rio,le,31_01_26,2,,,,,,,,,,,,,,,,,,,,
ins,le,31_01_26,2,,,,,,,,,,,,,,,,,,,,
pr,fedg,31_01_26,2,,,,,,,,,,,,,,,,,,,,
rio,fedg,31_01_26,2,,,,,,,,,,,,,,,,,,,,
ins,fedg,31_01_26,2,,,,,,,,,,,,,,,,,,,,
lg,fedg,31_01_26,3,,,,,,,,,,,,,,,,,,,,
lg,le,31_01_26,3,,,,,,,,,,,,,,,,,,,,
lopo,le,31_01_26,3,,,,,,,,,,,,,,,,,,,,
lopo,fedg,31_01_26,2,,,,,,,,,,,,,,,,,,,,
d,cr,31_01_26,2,,,,,,,,,,,,,,,,,,,,
p1,d,31_01_26,3,,,,,,,,,,,,,,,,,,,,
p2,d,31_01_26,2,,,,,,,,,,,,,,,,,,,,
p2,suc,31_01_26,3,,,,,,,,,,,,,,,,,,,,
p2,lw,31_01_26,1,,,,,,,,,,,,,,,,,,,,
p2,vit,31_01_26,1,,,,,,,,,,,,,,,,,,,,
p2,dp,31_01_26,1,,,,,,,,,,,,,,,,,,,,
p2,r,31_01_26,1,,,,,,,,,,,,,,,,,,,,
vit,lw,31_01_26,3,,,,,,,,,,,,,,,,,,,,
d,lw,31_01_26,2,,,,,,,,,,,,,,,,,,,,
dp,r,31_01_26,1,,,,,,,,,,,,,,,,,,,,
d,lw,31_01_26,2,,,,,,,,,,,,,,,,,,,,
lw,suc,31_01_26,3,,,,,,,,,,,,,,,,,,,,
dp,suc,31_01_26,3,,,,,,,,,,,,,,,,,,,,
