from,to,date,rating
p1,cm,01_01_25,3
p1,le,01_01_25,3
p1,dp,01_01_25,3
p1,fk,01_01_25,3
p1,dp,01_01_25,2
p1,nopd,01_01_25,1
p1,ta,01_01_25,1
p1,cono,01_01_25,1
nopd,le,01_01_25,1
ta,le,01_01_25,1
cono,le,01_01_25,2
p2,usa,01_01_25,1
p2,af,01_01_25,3
usa,af,01_01_25,1
p3,t,01_01_25,3
p3,af,01_01_25,3
p4,dp,02_01_25,3
p4,cor,02_01_25,3
p4,lp,02_01_25,3
p4,le,02_01_25,3
p4,nas,02_01_25,3
p4,doj,02_01_25,2
p4,fbi,02_01_25,2
p4,cia,02_01_25,1
doj,cor,02_01_25,2
doj,lp,02_01_25,2
doj,le,02_01_25,2
fbi,cor,02_01_25,2
fbi,lp,02_01_25,2
fbi,le,02_01_25,2
dp,cor,02_01_25,2
dp,lp,02_01_25,2
cia,nas,02_01_25,1
p5,dt,02_01_25,1
p5,caaa,02_01_25,3
dt,caaa,02_01_25,1
p6,jb,02_01_25,2
p6,dp,02_01_25,2
jb,cm,02_01_25,2
jb,dp,02_01_25,2
jb,obp,02_01_25,2
dp,cm,02_01_25,2
dp,obp,02_01_25,2
p6,cm,02_01_25,3
p6,dp,02_01_25,3
p6,obp,02_01_25,3
p7,jp,02_01_25,1
p7,usg,02_01_25,1
jp,aogo,02_01_25,1
usg,aogo,02_01_25,1
p7,aogo,02_01_25,3
jp,usg,02_01_25,1
p8,bl,02_01_25,1
p8,usg,02_01_25,1
bl,usg,02_01_25,1
bl,aogo,02_01_25,1
usg,aogo,02_01_25,1
p8,aogo,02_01_25,3
p9,ca ,02_01_25,1
p9,usg,02_01_25,1
ca,usg,02_01_25,1
ca,aogo,02_01_25,1
usg,aogo,02_01_25,1
p9,aogo,02_01_25,3
p10,sb,03_01_25,1
p10,kk,03_01_25,1
p10,ap,03_01_25,1
p10,hmc,03_01_25,1
p10,dk,03_01_25,1
p10,ss,03_01_25,1
p10,usdot,03_01_25,1
p10,aogo,03_01_25,3
