from,to,date,rating,
p1,mb,01_09_25,1,
p1,jbp,01_09_25,2,
p1,wm,01_09_25,2,
p1,gn,01_09_25,2,
p1,lapd,01_09_25,1,
p1,pdc,01_09_25,1,
p1,cw,01_09_25,1,
p1,cc,01_09_25,2,
p1,cla,01_09_25,2,
p1,cny,01_09_25,2,
p1,cb,01_09_25,2,
p1,nguar,01_09_25,3,
p1,cr,01_09_25,3,
p1,le,01_09_25,3,
mb,cw,01_09_25,1,
mb,cr,01_09_25,1,
mb,le,01_09_25,1,
cw,cr,01_09_25,1,
lapd,le,01_09_25,1,
lapd,nguar,01_09_25,1,
jbp,cr,01_09_25,2,
wm,cr,01_09_25,2,
gn,cr,01_09_25,2,
cc,cr,01_09_25,2,
cla,cr,01_09_25,2,
cny,cr,01_09_25,2,
cb,cr,01_09_25,2,
,,,,
p2,rkjr,01_09_25,3,
p2,pf,01_09_25,3,
p2,dc,01_09_25,3,
p2,cdc,01_09_25,2,
p2,ows,01_09_25,3,
p2,tp,01_09_25,3,
p2,me,01_09_25,3,
p2,caaa,01_09_25	,3,
p2,js,01_09_25	,3,
pf,me,01_09_25,3,
pf,cdc,01_09_25,2,
dc,me,01_09_25,3,
dc,cdc,01_09_25,2,
cdc,js,01_09_25,2,
cdc,rkjr,01_09_25,3,
ows,caaa,01_09_25,3,
ows,dc,01_09_25,3,
tp,caaa,01_09_25,1,
,,,,
p3,i,01_09_25,2,
p3,russi,01_09_25,3,
p3,us,01_09_25,3,
p3,t,01_09_25,3,
p3,pair,01_09_25,3,
p3,nas,01_09_25,3,
i,us,01_09_25,2,
i,russi,01_09_25,3,
us,russi,01_09_25,3,
i,t,01_09_25,2,
us,t,01_09_25,2,
i,pair,01_09_25,2,
i,nas,01_09_25,2,
russi,pair,01_09_25,2,
russi,nas,01_09_25,2,
,,,,
p4,rg,01_09_25,1,
p4,us,01_09_25,3,
p4,ny,01_09_25,3,
p4,pmf,01_09_25,3,
p4,caaa,01_09_25	,3,
rg,us,01_09_25,1,
rg,ny,01_09_25,1,
us,ny,01_09_25,3,
rg,pmf,01_09_25,3,
rg,caaa,01_09_25,1,
us,caaa,01_09_25,1,
cny,caaa,01_09_25,,
,,,,
p5,cc,02_09_25,2,
p5,jbp,02_09_25,3,
p5,cw,02_09_25,1,
p5,cr,02_09_25,3,
cc,cr,02_09_25,1,
jbp,cc,02_09_25,2,
cc,cw,02_09_25,2,
jbp,cr,02_09_25,2,
cw,cr,02_09_25,1,
,,,,
p6,cc,02_09_25,2,
p6,cr,02_09_25,3,
cc,cr,02_09_25,2,
,,,,
p7,usdod,02_09_25,3,
p7,ussc,02_09_25,1,
p7,hv,02_09_25,1,
p7,ab,02_09_25,1,
ussc,hv,02_09_25,1,
hv,ab,02_09_25,1,
ussc,ab,02_09_25,1,
,,,,
p8,usdod,02_09_25,1,
p8,cr,02_09_25,3,
p8,nas,02_09_25,3,
p8,umf,02_09_25,1,
p8,usc,02_09_25,1,
p8,tda,02_09_25,2,
p8,nm,02_09_25,2,
p8,us,02_09_25,3,
p8,wh,02_09_25,3,
umf,usc,02_09_25,1,
umf,tda,02_09_25,2,
usc,tda,02_09_25,2,
tda,nm,02_09_25,2,
umf,us,02_09_25,1,
tda,us,02_09_25,2,
tda,wh,02_09_25,2,
umf,nas,02_09_25,1,
umf,cr,02_09_25,1,
umf,usdod,02_09_25,1,
usc,usdod,02_09_25,1,
usc,nas,02_09_25,1,
usc,cr,02_09_25,1,
tda,nas,02_09_25,2,
tda,cr,02_09_25,2,
nm,cr,02_09_25,2,
us ,nas,02_09_25,3,
wh,nas,02_09_25,3,
,,,,
p9,pair,02_09_25,3,
p9,pa ,02_09_25,3,
p9,nas,02_09_25,3,
p9,xi,02_09_25,2,
p9,chi,02_09_25,2,
p9,vp,02_09_25,2,
p9,kju,02_09_25,2,
p9,us,02_09_25,1,
p9,amer,02_09_25,1,
us,chi,02_09_25,1,
us,amer,02_09_25,1,
amer,chi,02_09_25,1,
us,vp,02_09_25,2,
us,kju,02_09_25,2,
xi,chi,02_09_25,3,
xi,amer,02_09_25,3,
chi,amer,02_09_25,3,
xi,pair,02_09_25,3,
chi,pair,02_09_25,1,
vp,pa,02_09_25,2,
kju,pa,02_09_25,2,
us,pair,02_09_25,2,
us,nas,02_09_25,1,
amer,nas,02_09_25,1,
,,,,
p10,gaz,03_09_25,3,
p10,isr,03_09_25,3,
p10,hama,03_09_25,2,
p10,host,03_09_25,1,
hama,host,03_09_25,2,
hama,gaz,03_09_25,2,
hama,isr,03_09_25,2,
host,isr,03_09_25,1,
host,gaz,03_09_25,1,
,,,,
p11,pa,03_09_25,3,
p11,rod,03_09_25,2,
rod,pa,03_09_25,2,
,,,,
p12,cr,04_09_25,3,
p12,le,04_09_25,3,
p12,mc,04_09_25,2,
p12,goi,04_09_25,2,
p12,cc,04_09_25,2,
mc,cc,04_09_25,2,
goi,cc,04_09_25,2,
mc,le,04_09_25,2,
mc,cr,04_09_25,2,
goi,le,04_09_25,2,
goi,cr,04_09_25,2,
cc,cr,04_09_25,2,
,,,,
p13,pair,05_09_25,3,
p13,i,05_09_25,2,
p13,russi,05_09_25,2,
p13,chi,05_09_25,2,
i,chi,05_09_25,3,
russi,chi,05_09_25,3,
i,russi,05_09_25,3,
i,pair,05_09_25,3,
russi,pair,05_09_25,3,
chi,pair,05_09_25,3,
,,,,
p14,pa,05_09_25,3,
p14,lp,05_09_25,3,
p14,js,05_09_25,3,
p14,jn,05_09_25,2,
p14,np,05_09_25,2,
p14,uc,05_09_25,2,
p14,cw,05_09_25,1,
jn,np,05_09_25,3,
jn,uc,05_09_25,3,
jn,cw,05_09_25,2,
jn,pa,05_09_25,2,
jn,lp,05_09_25,2,
np,pa,05_09_25,2,
np,lp,05_09_25,2,
uc,lp,05_09_25,2,
uc,js,05_09_25,2,
cw,js,05_09_25,1,
,,,,
p15,pa,05_09_25,3,
p15,rl,05_09_25,3,
p15,d,05_09_25,3,
p15,js,05_09_25,3,
p15,je,05_09_25,3,
p15,epsti,05_09_25,3,
p15,vic,05_09_25,2,
p15,uc,05_09_25,3,
p15,russi,05_09_25,2,
p15,bida,05_09_25,2,
p15,democ,05_09_25,2,
p15,rep,05_09_25,1,
p15,doj,05_09_25,1,
democ,je,05_09_25,2,
democ,epsti,05_09_25,2,
democ,vic,05_09_25,2,
democ,uc,05_09_25,2,
democ,russi,05_09_25,2,
democ,bida,05_09_25,2,
je,pa,05_09_25,3,
epsti,pa,05_09_25,3,
vic,js,05_09_25,2,
uc,js,05_09_25,2,
russi,rl,05_09_25,2,
bida,rl,05_09_25,2,
democ,d,05_09_25,2,
democ,pa,05_09_25,2,
democ,rl,05_09_25,2,
rep,d,05_09_25,1,
doj,js,05_09_25,1,
,,,,
p16,if,05_09_25,3,
p16,iv,05_09_25,3,
p16,pa,05_09_25,3,
p16,jp,05_09_25,2,
jp,if,05_09_25,2,
jp,iv,05_09_25,2,
jp,pa,05_09_25,2,
,,,,
p17,iv,05_09_25,3,
