id,name,date,month,party,link,sex
k1,Venezuela,,,,,
k2,Drogen,,,,,
k4,Arbeitsmarkt,,,,,
k5,Innenpolitik,,,,,
k6,Energiepolitik,,,,,
p1,Post 1,11.10.24,october,,,
p2,Post 2,11.10.24,october,,,
p3,Post 3,11.10.24,october,,,
p4,Post 4,09.10.24,october,,,
p5,Post 5,10.10.24,october,,,
kh,Kamala Harris,,,2,,1
jb,Joe Biden,,,2,,2
bo,Barrak Obama,,,2,,2
rsbn,Right Side Broadcasting Network,,,,,
nm,Newsmax,,,,,
oann,One America News Network,,,,,
rav,real Americas Voice,,,,,
r,Rumble,,,,,
maga,Make America Great Again,,,,,
oa,Operation Aurora,,,,,
