c,name,date,month,sex,party,,topcategory,link,,,c,name,date,month,sex,party,,topcategory,link
cf,campaign fundraising,,,,,,1,,,,cf,campaign fundraising,,,,,,1,
ef,election fraud,,,,,,1,,,,ef,election fraud,,,,,,1,
suc,surrogate campaigning,,,,,,1,,,,suc,surrogate campaigning,,,,,,1,
af,America First,,,,,,1,,,,af,America First,,,,,,1,
fy,Fentanyl,,,,,,2,,,,fy,Fentanyl,,,,,,2,
ty,Tylenol,,,,,,2,,,,ty,Tylenol,,,,,,2,
if,inflation,,,,,,3,,,,if,inflation,,,,,,3,
iv,investments,,,,,,3,,,,iv,investments,,,,,,3,
spc,spending cuts,,,,,,3,,,,spc,spending cuts,,,,,,3,
cor,corruption,,,,,,8,,,,cor,corruption,,,,,,8,
doge,DOGE,,,,,,3,,,,doge,DOGE,,,,,,3,
js,justice system,,,,,,4,,,,js,justice system,,,,,,4,
le,law enforcement,,,,,,4,,,,le,law enforcement,,,,,,4,
sec,second amendment,,,,,,4,,,,sec,second amendment,,,,,,4,
fos,freedom of speech,,,,,,4,,,,fos,freedom of speech,,,,,,4,
lp,legal proceedings,,,,,,4,,,,lp,legal proceedings,,,,,,4,
sch,school system,,,,,,5,,,,sch,school system,,,,,,5,
uni,universities,,,,,,5,,,,uni,universities,,,,,,5,
ta,taxes,,,,,,6,,,,ta,taxes,,,,,,6,
caaa,corporate and administrative announcements,,,,,,6,,,,caaa,corporate and administrative announcements,,,,,,6,
ng,national guards,,,,,,7,,,,ng,national guards,,,,,,7,
nwt,nuclear weapons testing,,,,,,7,,,,nwt,nuclear weapons testing,,,,,,7,
ma,Marine,,,,,,7,,,,ma,Marine,,,,,,7,
mu,murderer,,,,,,8,,,,mu,murderer,,,,,,8,
cr,criminals,,,,,,8,,,,cr,criminals,,,,,,8,
rl,radical left,,,,,,9,,,,rl,radical left,,,,,,9,
fk,fake news,,,,,,10,,,,fk,fake news,,,,,,10,
mc,media criticism,,,,,,10,,,,mc,media criticism,,,,,,10,
u,Univision,,,,,,10,,,,u,Univision,,,,,,10,
p,press,,,,,,10,,,,p,press,,,,,,10,
tva,TV appearances,,,,,,10,,,,tva,TV appearances,,,,,,10,
t,tariffs,,,,,,11,,,,t,tariffs,,,,,,11,
ttb,TikTok Ban,,,,,,11,,,,ttb,TikTok Ban,,,,,,11,
eu,European Union,,,,,,11,,,,eu,European Union,,,,,,11,
afd,Alternative für Deutschland,,,,,,11,,,,afd,Alternative für Deutschland,,,,,,11,
ham,Hamas,,,,,,11,,,,ham,Hamas,,,,,,11,
pair,political alliances & international relations,,,,,,11,,,,pair,political alliances & international relations,,,,,,11,
pm,political meetings,,,,,,11,,,,pm,political meetings,,,,,,11,
ic,international comparison,,,,,,11,,,,ic,international comparison,,,,,,11,
un,United Nations,,,,,,11,,,,un,United Nations,,,,,,11,
aogo,appointment of government officials,,,,,,12,,,,aogo,appointment of government officials,,,,,,12,
bbb,Big Beautiful Bill,,,,,,12,,,,bbb,Big Beautiful Bill,,,,,,12,
o,opposition,,,,,,12,,,,o,opposition,,,,,,12,
ack,assassination attempt on Charlie Kirk,,,,,,12,,,,ack,assassination attempt on Charlie Kirk,,,,,,12,
d,democrats,,,,1,,,,,,d,democrats,,,,1,,,
ice,ICE,,,,,,12,,,,ice,ICE,,,,,,12,
hist,history,,,,,,17,,,,hist,history,,,,,,17,
isr,Israel,,,,,,,,,,isr,Israel,,,,,,,
rus,Russia,,,,,,13,,,,rus,Russia,,,,,,13,
ukr,Ukraine,,,,,,13,,,,ukr,Ukraine,,,,,,13,
gaz,Gaza Strip,,,,,,13,,,,gaz,Gaza Strip,,,,,,13,
tha,Thailand,,,,,,13,,,,tha,Thailand,,,,,,13,
