id,name,date,party,link,sex
k1,Venezuela,,,,
k2,Drogen,,,,
k3,Kamala Harris,,,,
k4,Arbeitsmarkt,,,,
k5,Innenpolitik,,,,
k6,Energiepolitik,,,,
,,,,,
p1,Post 1,11.10.24,,https://truthsocial.com/@realDonaldTrump/posts/113290463070741962,
p2,Post 2,11.10.24,,https://truthsocial.com/@realDonaldTrump/posts/113289960242608766,
p3,Post 3,11.10.24,,https://truthsocial.com/@realDonaldTrump/posts/113289526609125895,
p4,Post 4,09.10.24,,https://truthsocial.com/@realDonaldTrump/posts/113280551272042459,
p5,Post 5,10.10.24,,https://truthsocial.com/@realDonaldTrump/posts/113284912606926112,
,,,,,
kh,Kamala Harris,,2,,1
jb,Joe Biden,,2,,2
bo,Barrak Obama,,2,,2
,,,,,
rsbn,Right Side Broadcasting Network,,,,
nm,Newsmax,,,,
oann,One America News Network,,,,
rav,real Americas Voice,,,,
r,Rumble,,,,
maga,Make America Great Again,,,,
oa ,Operation Aurora,,,,
