id,name,date,month,sex,party,topcategory,link
cf,campaign fundraising,,,,,1,
ef,election fraud,,,,,1,
suc,surrogate campaigning,,,,,1,
af,America First,,,,,1,
dam,downsyndrrom awareness month,,,,,2,
fy,Fentanyl,,,,,2,
ty,Tylenol,,,,,2,
if,inflation,,,,,3,
iv,investments,,,,,3,
sc,spending cuts,,,,,3,
cor,corruption,,,,,8,
doge,DOGE,,,,,3,
js,justice system,,,,,4,
par,pardon,,,,,4,
le,law enforcement,,,,,4,
sec,second amendment,,,,,4,
fos,freedom of speech,,,,,4,
lp,legal proceedings,,,,,4,
sch,school system,,,,,5,
uni,universities,,,,,5,
ta,taxes,,,,,6,
caaa,corporate and administrative announcements,,,,,6,
ng,national guards,,,,,7,
nwt,nuclear weapons testing,,,,,7,
ma,Marine,,,,,7,
mu,murderer,,,,,8,
cr,criminals,,,,,8,
rl,radical left,,,,,9,
fk,fake news,,,,,10,
mc,flori,,,,,10,
u,Univision,,,,,10,
p,press,,,,,10,
tva,TV appearances,,,,,10,
t,tariffs,,,,,11,
ttb,TikTok Ban,,,,,11,
eu,European Union,,,,,11,
afd,Alternative für Deutschland,,,,,11,
ham,Hamas,,,,,11,
pair,political alliances & international relations,,,,,11,
pm,political meetings,,,,,11,
ic,international comparison,,,,,11,
un,United Nations,,,,,11,
aogo,appointment of government officials,,,,,12,
bbb,Big Beautiful Bill,,,,,12,
o,opposition,,,,,12,
ack,Attentat auf Charlie Kirk,,,,,12,
d,democrats ,,,,,12,
ice,ICE,,,,,12,
isr,Israel,,,,,13,
rus,Russia,,,,,13,
ukr,Ukraine,,,,,13,
gaz,Gaza Stripe,,,,,13,
tha,Thailand,,,,,13,
kam,Kambodscha,,,,,13,
grl,Greenland,,,,,13,
irn,Iran,,,,,13,
ven,Venezuela,,,,,13,
cap,capitol riot ,,,,,13,
b,Blutbad (Bloodbath in Bezug auf Russland/Ukraine),,,,,13,
g,Golf,,,,,14,
ba,Basketball,,,,,14,
wt,wind turbines,,,,,15,
cc,climate change,,,,,15,
ep,energy policy,,,,,15,
rb,religious beliefs,,,,,16,
jew,jews,,,,,16,
npp,nobel peace price,,,,,19,
fpp,FIFA Peace Prize,,,,,19,
pa,personal attaks,,,,,9,
nas,national security,,,,,7,
me,medicaments,,,,,2,
w,wife,,,,,18,
c,children,,,,,18,
usdod,Department of Defense,,,,,7,
aa,Academy Awards,,,,,19,
boo,books,,,,,10,
fball,football,,,,,14,
r,republican,,,,,12,
hist,history,,,,,17,
cm,crime,,,,,8,
gol,golf,,,,,14,
war,war,,,,,13,
ment,mental health,,,,,2,
immi,immigration,,,,,13,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
p1,post1,01_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115128853265372429
mb,Muriel Bowser,,,1,1,,
jbp,J. B. Pritzker,,,2,1,,
wm,Wes Moore,,,2,1,,
gn,Gavin Newsom,,,2,1,,
lapd,Law Enforcement Officer,,,,,,
pdc,people of D.C.,,,,,,
cw,City of Washington D.C.,,,,,,
cc,City of Chicago,,,,,,
cla,City od Los Angeles,,,,,,
cny,City of New York,,,,,,
cb,City of Baltimore,,,,,,
nguar,National Guards,,,,,,
,,,,,,,
p2,post2,01_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115128985245605660
rkjr,Robert F. Kennedy Jr.,,,2,3,,
pf,Pfizer,,,,,,
dc,fc,,,,,,
cdc,Centers for Disease Control and Prevention,,,,,,
ows,Operation Warp Speed,,,,,,
tp,The public,,,,,,
,,,,,,,
p3,post3,01_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115129261076571259
i,India,,,,,,
russi,Russia,,,,,,
us,United States,,,,,,
,,,,,,,
p4,post4,01_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115130857021044948
rg,Rudy Giuliani,,,2,2,,
pmf,The Presidential Medal of Freedom,,,,,,
,,,,,,,
